ID,Name,Parameter,Language,Frequency,Confidence,References
4-142-179-1,barba_,beard,Romanian,,,
4-150-179-1,si_nge,blood,Romanian,,,
4-160-179-1,os,bone,Romanian,,,
4-162-179-1,coasta_,rib,Romanian,,,
4-170-179-1,corn,horn,Romanian,,,
4-180-179-1,coada_,tail,Romanian,,,
4-190-179-1,spate,back,Romanian,,,
4-190-179-3,dos,back,Romanian,,,
4-200-179-1,cap,head,Romanian,,,
4-202-179-1,craniu,skull,Romanian,,,
4-203-179-1,creieri,brain,Romanian,,,
4-204-179-1,fat___,face,Romanian,,,
4-204-179-3,obraz,face,Romanian,,,
4-205-179-1,frunte,forehead,Romanian,,,
4-207-179-1,falca_,jaw,Romanian,,,
4-208-179-1,obraz,cheek,Romanian,,,
4-208-179-3,buca_,cheek,Romanian,,,
4-209-179-1,barbie,chin,Romanian,,,
4-210-179-1,ochiu,eye,Romanian,,,
4-212-179-1,spri_ncean__,eyebrow,Romanian,,,
4-220-179-1,ureche,ear,Romanian,,,
4-230-179-1,nas,nose,Romanian,,,
4-240-179-1,gura_,mouth,Romanian,,,
4-250-179-1,buza_,lip,Romanian,,,
4-260-179-1,limba_,tongue,Romanian,,,
4-270-179-1,dinte,tooth,Romanian,,,
4-280-179-1,gi_t,neck,Romanian,,,
4-290-179-1,gi_tlej,throat,Romanian,,,
4-290-179-3,beregata_,throat,Romanian,,,
4-300-179-1,uma_r,shoulder,Romanian,,,
4-310-179-1,brat_,arm,Romanian,,,
4-320-179-1,cot,elbow,Romanian,,,
4-330-179-1,mi_n__,hand,Romanian,,,
4-340-179-1,deget,finger,Romanian,,,
4-342-179-1,degetul cel gros,thumb,Romanian,,,
4-342-179-3,policar,thumb,Romanian,,,
4-344-179-1,unghis,fingernail,Romanian,,,
4-350-179-1,picior,leg,Romanian,,,
4-360-179-1,genunchiu,knee,Romanian,,,
4-370-179-1,picior,foot,Romanian,,,
4-380-179-1,deget de la picior,toe,Romanian,,,
4-392-179-1,aripa_,wing,Romanian,,,
4-393-179-1,pana_,feather,Romanian,,,
4-400-179-1,piept,chest,Romanian,,,
4-410-179-1,t_â____7,breast (of woman),Romanian,,,
