ID,Name,Parameter,Language,Frequency,Confidence,References
4-209-131-1,áll,chin,Hungarian,,,
4-210-131-1,szem,eye,Hungarian,,,
4-212-131-1,szemöldök,eyebrow,Hungarian,,,
4-213-131-1,szemhéy,eyelid,Hungarian,,,
4-214-131-1,szempilla,eyelash,Hungarian,,,
4-215-131-1,hunyorgat,blink,Hungarian,,,
4-215-131-3,pislog,blink,Hungarian,,,
4-220-131-1,fül,ear,Hungarian,,,
4-221-131-1,fülcimpa,earlobe,Hungarian,,,
4-222-131-1,fülzsír,earwax,Hungarian,,,
4-230-131-1,orr,nose,Hungarian,,,
4-231-131-1,orrlyuk,nostril,Hungarian,,,
4-232-131-1,takony,mucus (nasal),Hungarian,,,
4-240-131-1,száy,mouth,Hungarian,,,
4-241-131-1,(madár)cz_r,beak,Hungarian,,,
4-250-131-1,ayak,lip,Hungarian,,,
4-260-131-1,nyelv,tongue,Hungarian,,,
4-270-131-1,fog,tooth,Hungarian,,,
4-271-131-1,íny,gums,Hungarian,,,
4-272-131-1,zápfog,molartooth,Hungarian,,,
4-280-131-1,nyak,neck,Hungarian,,,
4-281-131-1,nyakszirt,nape of neck,Hungarian,,,
4-290-131-1,torok,throat,Hungarian,,,
4-300-131-1,váll,shoulder,Hungarian,,,
4-301-131-1,lapocka,shoulderblade,Hungarian,,,
4-302-131-1,kulczczont,collarbone,Hungarian,,,
4-310-131-1,kar,arm,Hungarian,,,
4-312-131-1,hónaly,armpit,Hungarian,,,
4-320-131-1,könyök,elbow,Hungarian,,,
4-321-131-1,czukló,wrist,Hungarian,,,
4-330-131-1,kéz,hand,Hungarian,,,
4-331-131-1,tenyér,palm of hand,Hungarian,,,
4-340-131-1,uyy,finger,Hungarian,,,
4-342-131-1,hüvelykuyy,thumb,Hungarian,,,
4-344-131-1,köröm,fingernail,Hungarian,,,
4-345-131-1,karom,claw,Hungarian,,,
4-350-131-1,láb,leg,Hungarian,,,
4-351-131-1,comb(czont),thigh,Hungarian,,,
4-352-131-1,lábikra,calf of leg,Hungarian,,,
4-360-131-1,térd,knee,Hungarian,,,
4-370-131-1,láb,foot,Hungarian,,,
4-371-131-1,boka,ankle,Hungarian,,,
4-372-131-1,sarok,heel,Hungarian,,,
4-374-131-1,lábnyom,footprint,Hungarian,,,
4-380-131-1,lábuyy,toe,Hungarian,,,
4-392-131-1,szárny,wing,Hungarian,,,
4-393-131-1,toll ~ madártoll,feather,Hungarian,,,
4-400-131-1,mell,chest,Hungarian,,,
4-410-131-1,mell ~ eml_,breast (of woman),Hungarian,,,
4-412-131-1,mellbimbó,"nipple, teat",Hungarian,,,
4-420-131-1,t_gy,udder,Hungarian,,,
4-430-131-1,köldök,navel,Hungarian,,,
4-440-131-1,szív,heart,Hungarian,,,
4-441-131-1,tüd_,lung,Hungarian,,,
4-450-131-1,máy,liver,Hungarian,,,
4-451-131-1,vese,kidney,Hungarian,,,
4-452-131-1,lép,spleen,Hungarian,,,
4-460-131-1,gyomor,stomach,Hungarian,,,
4-461-131-1,belek,"intestines, guts",Hungarian,,,
4-462-131-1,nyak,waist,Hungarian,,,
4-462-131-3,tarkó,waist,Hungarian,,,
4-463-131-1,czíp_,hip,Hungarian,,,
4-464-131-1,fenék,buttocks,Hungarian,,,
4-464-131-3,far,buttocks,Hungarian,,,
4-470-131-1,anyaméh,womb,Hungarian,,,
4-490-131-1,here,testicle,Hungarian,,,
4-492-131-1,pénisz,penis,Hungarian,,,
4-510-131-1,légelzik,"breathe, breath",Hungarian,,,
4-510-131-3,légezés,"breathe, breath",Hungarian,,,
4-520-131-1,císít,"yawn, gape",Hungarian,,,
4-521-131-1,czuklik,hiccough,Hungarian,,,
4-530-131-1,köhög,cough,Hungarian,,,
4-540-131-1,tüszszent,sneeze,Hungarian,,,
4-550-131-1,izzad,perspire,Hungarian,,,
4-560-131-1,köp,spit,Hungarian,,,
4-570-131-1,(ki)hány,vomit,Hungarian,,,
4-570-131-3,okádik,vomit,Hungarian,,,
4-580-131-1,harap,bite,Hungarian,,,
4-590-131-1,nyal ~ nyalogat,lick,Hungarian,,,
4-591-131-1,czöpög,dribble,Hungarian,,,
4-610-131-1,alszik,sleep,Hungarian,,,
4-612-131-1,horkol,snore,Hungarian,,,
4-620-131-1,álmodik,dream,Hungarian,,,
4-630-131-1,ébred,wake up,Hungarian,,,
4-640-131-1,szellent,break wind,Hungarian,,,
4-650-131-1,vizel,urinate,Hungarian,,,
4-660-131-1,bélsár ~ ürülék,defecate,Hungarian,,,
4-670-131-1,közösül,have sexual intercourse,Hungarian,,,
4-680-131-1,remeg,shiver,Hungarian,,,
4-680-131-3,reszket,shiver,Hungarian,,,
